Title,Content,CreationDate,Score,Post(id),Author(id)
"How to type "" ·; "" in LaTeX","<p>How do I type this <code>·;</code> in LaTeX?</p>
",21/05/2015 10:21,3,27,785
Plain TeX and XeTeX,"<p>Will all plain TeX code also work with XeTeX?</p>
",09/09/2015 11:28,2,28,412
Can I create music sheets with LaTeX?,"<p>If so, how? Do I need any additional software?</p>
",03/08/2010 00:42,48,29,528
Vertically center text on a page,"<p>How do I vertically center the text on a page?</p>
",25/08/2010 21:10,139,30,611
How to draw a line between two paragraphs of my text?,"<p>It's just as the title says.</p>

<p>Thanks.</p>
",13/10/2010 09:38,23,31,552
Page Numbering Wrong In LaTeX table of contents,"<p>Text removed due to containing thesis details.</p>
",18/08/2018 14:18,1,32,777
"What do the pieces of LaTeX, \left and \right, respectively mean?","<p>What are their uses and are they even standard?</p>
",14/10/2012 01:39,65,33,334
Why does pdfcrop invoke pdftex internally?,"<p>What for does pdfcrop execute pdftex internally?</p>
",09/07/2011 17:15,3,34,300
Is there a way to search special LaTeX characters in a PDF file?,"<p>Especially things like fractions and exponents? </p>
",24/07/2011 06:46,4,35,836
"Help me! I switched to code on the left and now I can't get it back to text. I'm a newbie so I have no idea,","<p>I cannot get the left side into alphabetic text.</p>
",14/04/2018 18:20,1,36,133
Export .eps file from tikz image in Overleaf,"<p>How can i export .eps file from tikz in overleaf</p>
",26/08/2019 07:32,0,37,104
Use \mathrm by default,"<p>How can I get roman font by default in math mode?</p>
",05/04/2011 18:13,10,38,296
When does it make sense to use TeX only and skip LaTeX?,"<p>In what applications doesn't LaTeX give you much?</p>
",26/07/2010 19:45,31,39,907
How to change the default language of moderncv,"<p>How can I change the default language of moderncv?</p>
",13/10/2013 18:12,3,40,155
What is the default font size of a LaTeX document?,"<p>What is the default font size of a LaTeX document?</p>
",25/01/2014 15:21,58,41,36
Is this possible to modifying the .sty file?,"<p>Interested to modifying the fontawesome.sty file? </p>
",19/04/2014 04:49,0,42,246
How can I space the lines in the whole document?,"<p>How can I space the lines in the whole  document ?</p>
",29/07/2014 12:42,0,43,264
Border on page's edge,"<p>How can I make a black border close to pages edge ?</p>
",12/01/2011 00:39,9,44,119
What is the most minimal code to work with ConTeXt?,"<p>What is the most minimal code to work with ConTeXt?</p>
",13/01/2011 06:17,4,45,268
How to make \section items numbers show as Roman Numerals like I II III IV..?,"<p>And how to make them show as roman numerals in TOC?</p>
",10/05/2011 16:10,6,46,504
Why does picins exist in MikTeX but it does not exist in TeX Live?,"<p>If picins is not free, why does it exist in MikTeX?</p>
",07/06/2011 12:48,3,47,507
"How to type ""~"", the curly symbol used for ""Home"" in Linux, in latex?","<p>I'm sorry if this is duplicate; I couldn't find it.</p>
",01/02/2019 20:37,0,48,973
Page background in ShareLaTeX,"<p>How can I add an image as background in ShareLaTeX?</p>
",20/02/2018 07:48,0,49,585
How to print in colour with plain tex and Texshop?,"<p>How to print in colour with plain tex and Texshop ?</p>
",15/02/2020 09:23,0,50,883
How do I cross-reference a previous page in a footnote?,"<p>I don't find the command to make a cross-reference.</p>
",03/08/2020 10:53,1,51,666
Usage of UNC paths in XeTeX Documents,"<p>Is it possible to use UNC paths in a XeTeX document?</p>
",19/03/2012 10:34,2,52,642
Making bibtex reference entry bold?,"<p>How do I make some reference entries bold in bibtex?</p>
",01/10/2010 14:54,7,53,248
How to make a diagram of the Petersen graph using pstricks,"<p>How do I make an equilateral star inside a pentagon?</p>
",16/02/2015 03:09,0,54,258
How to remove page numbering for particular pages of your document in LaTeX?,"<p><code>\thispagestyle{empty}</code> is not working...</p>
",29/07/2014 05:36,2,55,797
Writing macros with a large number of arguments,"<p>How can I write a macro with more than 10 arguments?</p>
",21/10/2018 08:29,1,56,58
Draw a rectangle,"<p>How to draw a highlighted box around a bulleted item.</p>
",14/04/2011 07:25,1,57,349
Does there exist any command / symbol to display i++,"<p><code>$i++$</code> doesn't look nice. Any better way?</p>
",17/05/2011 21:06,6,58,832
memoir without chapters,"<p>Is it possible to use memoir without having chapters?</p>
",18/12/2010 02:08,23,59,907
"In the layout package documentation, line 134, why is \inch given as an approximation of 72, instead of it's true value of 72.27?","<p>I'm sure it's not a bug, just want to understand why.</p>
",08/07/2020 23:55,0,60,383
Producing doc/docx from LaTeX,"<p>Is there any way to produce doc/docx files from LaTeX?</p>
",12/01/2011 18:59,99,61,446
Text in the header with memoir,"<p>How do I put text in the header with the memoir class?</p>
",04/10/2010 07:21,3,62,634
How to view DVI on Mac OS X?,"<p>What are some good software to view DVI files on OS X?</p>
",28/06/2014 21:03,16,63,88
"When using amsmath, can the spacing between the letters ""l "" and ""n"" resulting from calling \ln be widened?","<p>The ln resulting from using \ln is too tightly spaced.</p>
",16/03/2020 20:18,0,64,944
Where can I find documentation on the tikzlibrary calc?,"<p>Where can I find documentation on the tikzlibrary calc?</p>
",07/01/2011 12:21,2,65,51
How to make the size of PDF output wider?,"<p>Is there a way to make the PDF width and height larger?</p>
",02/06/2011 03:33,4,66,320
How do I install TikZ into my MiKTeX,"<p>How do I install the TikZ package to my current MiKTeX?</p>
",10/04/2013 08:43,1,67,583
Latex table of content gives wrong page numbers,"<p>I think it does not count the images. What should I do?</p>
",04/07/2013 18:04,-1,68,670
How to use Texmaker Synctex - Jump between source and PDF,"<p>How to jump between lines in PDF view and source view, </p>
",21/09/2014 13:23,8,69,448
Is there any way to convert a pdf file back to lyx file?,"<p>Is there any way to convert a pdf file back to lyx file</p>
",10/05/2017 13:46,1,70,577
! LaTeX Error: File `ucharcat.sty' not found,"<p>How to solve this problem ?
Any command line solution!</p>
",27/05/2018 14:48,1,71,520
What are the LaTeX codes for clockwise and counter-clockwise integrals (∱ and ⨑)?,"<p>If you do know, which package do I need to use? Thanks.</p>
",26/11/2018 16:20,8,72,395
Difference between \relax and % for ending a line,"<p>when would I use one over the other?  Are they the same?</p>
",14/06/2011 05:19,19,73,940
Typesetting UML class diagrams,"<p>What's the best way to draw UML class diagrams in LaTeX?</p>
",03/08/2010 09:14,90,74,724
Is ConTeXt compatible with the memoir class?,"<p>Is ConTeXt compatible with the <code>memoir</code> class?</p>
",26/02/2012 11:03,4,75,352
"If tug.org is down, where can I download TexLive?","<p>If tug.org is down, where can I download/update TeX-Live?</p>
",22/06/2012 19:07,8,76,567
How do I do an iterated intersection?,"<p>I want the index to appear under the intersection symbol.</p>
",10/09/2010 01:55,8,77,603
How to put a vertical line above a number?,"<p>I need help about how to put vertical line above number ?</p>
",17/09/2015 08:33,0,78,271
How to make chapter number appear as a written number instead of an Arabic number?,"<p>I am using the memoir class. Is there any way to do this?</p>
",14/01/2016 19:46,0,79,715
Shorthand for numbered equation environment,"<p>Is there any shorthand for numbered equation environment? </p>
",23/06/2012 20:12,7,80,867
How can one make a table without borders?,"<p>How can I make a table without borders? </p>

<p>Thanks!</p>
",21/10/2010 20:16,22,81,391
How to change the title of bibliography in another language?,"<p>I have used \begin{thebibliography} ; end{thebibliography}</p>
",21/10/2016 20:23,1,82,967
Adjusting the height of \vline,"<p>Is there a way to adjust the height of <code>\vline</code>?</p>
",29/11/2012 17:14,6,83,357
"In Latex, how to increase the size the font coloring when writing mathematical mode","<p>I would like to write color equations and increase the font</p>
",30/03/2015 10:14,1,84,810
What is the difference between normal text and Roman/upright?,"<p>What is the LaTeX command to have Roman/upright characters?</p>
",26/02/2014 23:50,1,85,2
Preserving white spaces in inline listings,"<p>Is there any way of preserving white spaces in \lstinlne{}?</p>
",07/03/2017 13:34,2,86,780
I want to label a table for reference purpose. Can someone tell me what is the command for this?,"<p>How can I label a table and then refer it to my latex file?</p>
",17/04/2018 05:34,0,87,341
Bekkeriana greek Typeface for LaTex,"<p>Anyone knows how to use ""Bekkeriana"" greek typeface?  <br/></p>
",25/03/2019 14:18,0,88,816
Covering map picture,"<p>I wish to draw a crazy covering map showing charts any help?</p>
",14/11/2012 11:23,0,89,543
Spell checking LaTeX documents,"<p>What's the best strategy for spell checking LaTeX documents?</p>
",26/07/2010 19:28,140,90,411
Is there a good document template for making business cards?,"<p>Is there a good document template for making business cards?</p>
",29/10/2010 16:49,56,91,405
Symbol for Gaussian distribution,"<p>What is the symbol for the normal density function in LaTeX?</p>
",12/12/2010 16:30,87,92,203
How to install the package font awesome?,"<p>How to install the package font awesome in MiXTeX (Windows)?</p>
",29/09/2014 21:01,0,93,787
How to make a symbol by joining together 'P' and 'A'?,"<p>'P' should be in the left of 'A' and of little smaller size.</p>
",03/02/2016 12:04,3,94,189
What has been your most complicated TikZ drawing?,"<p>Share your most complex TikZ drawing and learning out of it.</p>
",13/03/2019 08:28,42,95,822
In Lyx find a word and replace with ERT,"<p>In Lyx how do I find and replace words with latex code (ERT)?</p>
",16/03/2011 16:56,2,96,153
How to achieve or get Post script (PS) output from xelatex run?,"<p>Does this require any sort of switches while running XeLaTeX?</p>
",13/12/2012 09:34,3,97,980
"Are theorems, lemmas etc as new paragraphs or as in a paragraph?","<p>Curious about skips above and below them and the indentation.</p>
",03/04/2013 06:18,4,98,28
"How to define and use the date format ""1 Jan 2012 7.03am""","<p>How can I define and use the date format ""1 Jan 2012 7.03am""?</p>
",21/01/2012 09:39,5,99,183
How to speed up LaTeX compilation with several TikZ pictures?,"<p>The slowest part is a dozen of diagrams in <code>TikZ.</code></p>
",26/07/2010 19:43,95,100,236
Is there a group/organization/network of people who create TeX/LaTeX-based versions of old or public domain texts?,"<p>Simply put, is there a Project Gutenberg for TeX and Friends?</p>
",31/03/2014 15:25,9,101,733
"Appendix A,B,C with usepackage{appendix}","<p>With the appendix package. How can I have appendices A, B, C?</p>
",22/03/2020 19:50,0,102,80
How do you use style sheets in TeXworks?,"<p>How do you choose which .sty file a document uses in TeXworks?</p>
",02/06/2011 22:51,3,103,937
Removing page number from ToC,"<p>How to remove the page number from the table of contents page?</p>
",11/09/2010 18:38,36,104,480
Increase LaTeX table row height,"<p>How does one increase the height of the rows in a LaTeX table?</p>
",08/02/2014 08:02,175,105,353
Difference between align and alignat environments,"<p>What is the difference between align and alignat environments?</p>
",12/09/2014 10:21,63,106,25
How can I install dirtytalk on Miktex?,"<p>Tried using the Pacakge Manager, but the package doesn't show.</p>
",15/09/2016 16:45,1,107,707
"What is the difference between texlive2016-20160523, texlive2016, and texlive ISO files","<p>They all seem to be the same size (3G). What's the difference?</p>
",10/10/2016 17:23,4,108,867
"pgfplots - number format, 1234 to 1.2K, 1999 to 2.0K (rounded), 1234567 to 1.2M etc","<p>How do I format a number just like the title says in pgfplots?</p>
",17/04/2019 03:37,1,109,277
How can I make three horizontal dots on a letter in plain TeX,"<p>How can I make three horizontal dots on a letter in plain TeX?</p>
",09/02/2020 04:00,4,110,106
Is it possible to embed multimedia (audio or video)?,"<p>Using TeX/LaTeX is it possible to embed multimedia?
If so how?</p>
",10/05/2011 16:55,14,111,399
Locally setting the line width in a paragraph,"<p>How can I make a specific paragraph have a specific line width?</p>
",22/06/2011 09:31,15,112,99
Making WinEdt QuickGuide.tex work with XeLaTeX,"<p>Can the WinEdt QuickGuide.tex be modified to work with XeLaTeX?</p>
",18/06/2015 22:26,1,113,433
How do you print C4 envelopes?,"<p>What are the options for printing a C4-sized envelope in LaTeX?</p>
",21/09/2015 12:28,1,114,527
TeXnicCenter: opening PDF viewer internally,"<p>Is there a way to view the PDF file internally in TeXnicCenter?</p>
",28/04/2017 19:31,1,115,805
How to write a footnote in Tikz poster class?,"<p>I am getting problem in adding a footnote in tikz poster class?</p>
",23/01/2017 12:37,1,116,113
Is there a math symbol for right(-angled) triangle?,"<p>Cannot find one, all triangle symbols are equilateral triangles.</p>
",01/08/2012 12:18,10,117,710
Intertext vertical spacing,"<p>How do I reduce the vertical spacing of <code>\intertext</code>?</p>
",24/08/2010 21:06,26,118,366
How to obtain PDF size in LaTeX--70x60mm,"<p>I have to obtain PDF size 70 x 60 mm. How to obtain these sizes?</p>
",13/09/2015 15:37,0,119,524
How to produce author(year) citation in IEEE mode?,"<p>How to produce authoryear-style citation call-outs in IEEE mode?</p>
",11/10/2017 00:40,1,120,674
Is there a LaTeX3 equivalent for \@ifpackageloaded?,"<p>Is there a LaTeX3 equivalent for <code>\@ifpackageloaded</code>?</p>
",30/05/2018 19:31,6,121,763
Building a specific flow chart diagram,"<p>Reference links for tutorials on how to build flowchart diagrams</p>
",10/08/2020 18:07,0,122,64
How to use example code (of any language) and reference it?,"<p>How to use Java or any code in LaTeX and refer it in my document?</p>
",08/03/2012 16:00,2,123,38
How to make bold all of the TOC by default?,"<p>Is there a way to make all the table of contents bold by default?</p>
",05/07/2013 11:26,7,124,928
How can I use standard latex font (computer modern) in a web page?,"<p>Is there an easy way to display webpages in computer modern font?</p>
",12/09/2015 08:15,5,125,125
Clash between memoir class and footmisc,"<p>how do I get two footmarks separated by a coma with memoir class?</p>
",16/11/2015 15:30,0,126,411
Macro expanding to a file's contents?,"<p>How can I define a macro so that it expands to a file's contents?</p>
",30/12/2014 18:25,7,127,344
Having LTRFootnote in the caption of figure,"<p>How can I have <code>LTRfootnote</code> in the caption of figure?</p>
",17/12/2017 13:02,0,128,934
How to configure includegraphics?,"<p>I want to know how can I configure an image with \includegraphics</p>
",27/08/2018 00:09,2,129,98
"Scientific Workplace how to do $\mathbb{P}, \mathcal{F}$","<p>how to do <code>$\mathbb{P}, \mathcal{F}$</code> in this program?</p>
",01/07/2020 17:51,2,130,921
Hoffmansingleton graph I would like to learn how to draw this graph in latex -,"<p>I need ideas on how to draw the Hoffman Singleton graph in LaTeX.</p>
",21/08/2020 14:37,-4,131,867
How to install new packages on Texmaker on Ubuntu?,"<p>How do I install new packages on Texmaker? I use Ubuntu 10.04 LTS.</p>
",05/02/2011 11:39,23,132,488
Best way to generate nice function plots in LaTeX?,"<p>Which is the best way to put function plots into a LaTeX document?</p>
",30/09/2010 18:33,98,133,209
Is there any math symbol \predeq in Latex? How to use it?,"<p>Is there any math symbol \predeq in Latex? If yes, how to use it? </p>
",10/03/2014 06:58,0,134,616
How do I produce a double flat symbol (EDIT: 𝄫)?,"<p>Maybe my googling skills are failing but I couldn't find anything.</p>
",15/10/2014 10:07,7,135,348
Get a box with zero depth including some text,"<p>How to get a box including some text in text mode, which depth 0pt?</p>
",25/04/2011 06:13,14,136,482
Vertical Equivalent of \hfill,"<p>Is there an equivalent of <code>\hfill</code> for vertical spacing?</p>
",04/05/2011 04:02,7,137,527
Distance between footnote and the line above it,"<p>How can I edit the distance between footnote and the line above it?</p>
",18/07/2013 11:24,17,138,1001
How to produce EPS instead of PS using latex.exe followed by dvips?,"<p>How to produce EPS instead of PS using latex.exe followed by dvips?</p>
",29/12/2010 02:44,2,139,581
Is it possible to insert C++ code into LaTeX?,"<p>I mean C++ doing some calculation not inserting the code as a text.</p>
",26/01/2015 20:41,6,140,988
How do I put text before page number?,"<p>I need to put ""H.S. -"" before every page number. How can I do that?</p>
",15/01/2014 03:25,2,141,950
Align text to left,"<p>How to align text to left with a bullet using <code>itemize</code>?</p>
",17/09/2015 13:31,-1,142,586
Distraction-free writing with TeXstudio,"<p>Is it possible to configure TeXstudio for distraction free writing?</p>
",16/04/2017 13:27,5,143,391
Ottoman Turkish (Arabic letters),"<p>Is it possible to write Ottoman Turkish with TeX, LaTeX, or ArabTeX?</p>
",01/03/2011 10:02,11,144,525
Subset arrows in xymatrix,"<p>Is it possible to make an arrow in xymatrix that is a subset symbol?</p>
",11/04/2011 18:49,10,145,401
How do you underline,"<p>How do you underline text?</p>

<p>Also how do you underline math?</p>
",02/04/2015 16:31,0,146,157
"How much space is a line, vertically?","<p>How much space is a line, vertically ? E.g. something like ""1.5em"" ?</p>
",26/07/2014 06:06,12,147,703
Commenting out a few words within a paragraph?,"<p>Is there anyway by which I can comment out a word within a sentence?</p>
",05/11/2015 05:40,26,148,552
How to write inline formula involving tilde sign,"<p>How to write following inline formula in LaTeX: <code>r~[0,1]</code></p>
",28/08/2014 19:57,0,149,111
What are your favorite lesser-known LyX tips and tricks?,"<p>Things that you have learnt from experience which might help others.</p>
",20/11/2014 20:58,4,150,606
Is there a Mendeley Plugin for LaTeX?,"<p>I am looking for a plugin for Mendeley that easily integrates LaTeX </p>
",04/10/2016 06:26,1,151,857
Looking for sans serif typeface with interesting Q and &. Ideas?,"<p>I am looking for a sans serif typeface with interesting Q and &amp;.</p>
",16/05/2018 23:36,1,152,46
Insert a symbol at the end of line,"<p>I want to insert a symbol (<code>\Box</code>) at the end of the line.</p>
",07/03/2011 06:33,12,153,382
Disabling command+scrolling in TeXstudio (OS X),"<p>Is there any way to disable cmd+scroll zooming in TeXStudio for OS X?</p>
",06/05/2013 08:59,8,154,919
Where is the pattern list gallery for pgfplots?,"<p>Where is the list, or gallery of the patterns available for pgfplots?</p>
",16/05/2013 16:54,43,155,179
How to add footer in Lyx when using IEEE Transactions class?,"<p>How do I add a footer in LyX file when using IEEE Transactions class?</p>
",01/12/2015 21:35,1,156,505
What would be the symbol for 'multiplication on division'?,"<p>The symbol I would like to obtain ought to be like the symbol '\pm'. </p>
",30/10/2014 06:18,6,157,247
Is there a text editor that previews LaTeX?,"<p>Is there a text editor that previews what we written in LaTeX codes? </p>
",05/03/2016 04:18,3,158,917
Page numbers on margin KOMA-Script,"<p>How to put page number on a margin aligned with first line of a text?</p>
",10/06/2016 15:18,1,159,245
How to change line spacing to 1.15 lines?,"<p>How do i change the line spacing of my entire document to 1.15 lines?</p>
",14/08/2019 17:00,0,160,140
Format on how I will prepare an article in latex on my biography,"<p>I want to know how I will prepare an article in latex on my biography</p>
",21/09/2019 12:38,0,161,50
How do I convert my bibliography from embedded format to BibTeX?,"<p>Is it  possible to convert bibliographies from  embedded to  bibtex ?</p>
",05/11/2019 08:01,0,162,555
Macro manual for WinEdt 10.3 in pdf - where do I find it?,"<p>I need the Macro manual for WinEdt 10.3 in pdf - where do I find it ?</p>
",08/08/2020 15:09,0,163,158
"How can I set a margin equal to ""five spaces""?","<p>How can one set a margin equal to five spaces? Especially for a quote.</p>
",23/09/2013 01:34,7,164,552
How do you center everything,"<p>Is there a way to center everything in a LaTeX document even the text?</p>
",26/03/2015 18:27,5,165,262
LyX Layout File for the SIAM book class,"<p>Is there a LyX layout file for the SIAM book (SIAM-GH-book.cls) class?</p>
",21/08/2014 14:52,0,166,170
Enforce https when using tlmgr to install packages,"<p>Is there a way to enforce https when using tlmgr to install packages? </p>
",15/01/2018 21:38,0,167,218
I need to draw the chemical Structural Formula of paxlitaxel in latex,"<p>I need to draw the chemical Structural Formula of paxclitaxel in latex</p>
",11/03/2018 08:31,0,168,968
How to install the Futura font in TeX Live 2010 in Linux(Ubuntu 10.10)?,"<p>How to install the Futura font in TeX Live 2010 in Linux(Ubuntu 10.10)?</p>
",15/02/2011 02:21,3,169,740
How I draw graphics of dominoes falling?,"<p>How I draw graphics of dominoes falling, without moviment, static draw?</p>
",27/12/2013 01:29,0,170,750
Setting the indention of unordered lists,"<p>I'd like to set the indention of an itemize-list. How can this be done?</p>
",26/08/2010 17:28,26,171,771
Footnote separator,"<p>How can I remove the separator line between the footnotes and the text?</p>
",29/09/2010 22:53,20,172,352
Can I make footnote inside an equation?,"<p>Can I make a footnote to clarify an important point inside an equation?</p>
",22/01/2014 22:25,8,173,304
Interletter spacing in plain TeX,"<p>Is it possible globally to change the interletter spacing in plain TeX?</p>
",01/09/2015 14:00,9,174,811
"How can you make the $<$, and $\leq$ signs bold?","<p>How can you make the &lt;, and the $\leq$ signs bold?</p>

<p>Thanks,</p>
",31/03/2017 18:42,0,175,954
Word count for each collaborator in ShareLateX,"<p>Is it possible to do word counting for each collaborator in ShareLateX?</p>
",18/06/2018 13:26,0,176,148
Biblatex: How to insert dots into abbreviated journal names in bibliography,"<p>For example: ""Philos Trans R Soc"" should become ""Philos. Trans. R. Soc.""</p>
",10/11/2011 01:15,8,177,922
Lower and upper Riemann integrals?,"<p>How can I make an integral symbol with a bar above it or a bar below it?</p>
",12/02/2012 01:14,32,178,31
"What exactly are the ""[ ]"" for in ""\usepackage[]{}""","<p>I've looked in a few places for this and there are no good explanations.</p>
",05/05/2015 17:08,4,179,865
set the font in a beamer presentation to Computer Modern Roman,"<p>How can I set the default beamer font to the Computer Modern Roman font?</p>
",19/09/2015 10:30,2,180,231
Hyphenation anywhere,"<p>Is there a (simple) way to allow hypheation a-n-y-w-h-e-r-e in any word?</p>
",26/10/2015 21:52,5,181,31
TexStudio color profile matching TeX StackExchange code samples?,"<p>Does anybody know if this exists, and if it does, where I could find it?</p>
",22/12/2015 15:21,5,182,95
Directed graph example in Tikz,"<p>How to draw a MWE of a directed graph in Tikz using arrows and automata?</p>
",14/08/2017 12:57,2,183,298
How to insert vertical cut in delta symbol?,"<p>How to insert vertical cut in delta symbol to denote divided difference?</p>
",24/06/2016 12:11,2,184,414
Location of pdflatex when installing Lyx,"<p>Where is the location of pdflatex when installed through Lyx on Windows?</p>
",27/06/2016 14:06,1,185,685
How to create a link to open attached PDF in an specific page?,"<p>I want to click on the link and open an attached PDF in a specific page.</p>
",21/07/2016 22:05,0,186,103
Alternative Bibliography Processor with context MKIV,"<p>Do MLBibTeX work with ConTeXt MKIV? If yes, the how to use it with mkiv?</p>
",06/08/2016 05:58,1,187,985
How do I undo something if I accidentally deleted it?,"<p>If I deleted a few paragraphs accidentally is there a way of undoing it?</p>
",17/02/2019 16:58,1,188,383
What is the name of the character $\wp$?,"<p>What is the name of the character whose code is $\wp$ ?</p>

<p>Thanks</p>
",25/02/2019 21:22,2,189,837
Counting text within tabular environments,"<p>Does anyone know how I can count the words within tabular environments? </p>
",08/03/2018 09:06,0,190,781
How to plot a curve in a polar form r = f(Θ)?,"<p>Can we use LaTeX to make the graph of <code>$\rho = \sec(\theta)$</code>?</p>
",24/11/2013 11:17,4,191,194
How to write hidden notes in a LaTeX file?,"<p>How can I write notes in a LaTeX file, that don't appear in the PDF file?</p>
",16/02/2011 00:17,170,192,236
Draw a horizonal line over the entries of a row in an array,"<p>How to draw a horizonal line across a row (over the entries) in an array?</p>
",30/10/2012 16:59,2,193,840
Upper case chapter titles in the table of contents?,"<p>How to write the chapter titles in Upper Case in the table of contents ? </p>
",21/04/2013 22:49,2,194,678
Linespacing LaTeX for just a few lines,"<p>How can I increase the linespacing for just a few lines of code in LaTex?</p>
",04/07/2013 18:59,17,195,890
TeX question about double underlining in math mode,"<p>I am trying to define a macro for double underline in TeX (not LaTeX).   </p>
",10/06/2015 16:22,9,196,338
how to download and Install Latex on Ubuntu 15.04?,"<p>how to download and Install Latex on Ubuntu 15.04?</p>

<p>Please Help,</p>
",19/07/2015 15:53,0,197,383
How to get the symbol for the Bangladesh currency (taka)? ৳,"<p>I tried to just copy paste the symbol ৳, but this resulted in an error.</p>
",19/09/2019 05:39,1,198,282
How does Latexian's live preview feature work?,"<p>In particular, does it use any trick to generate the preview more quickly?</p>
",26/11/2013 01:15,3,199,249
LaTeX code for curly H used for Hausdorff dimension,"<p>Does anybody know the LaTeX Code for curly H used for Hausdorff dimension?</p>
",16/11/2012 03:22,17,200,962
Online references for creating advanced macros?,"<p>I am looking for online references for creating advanced macros for LaTeX.</p>
",06/10/2011 22:52,5,201,786
Theorem Ambient,"<p>it is possible to switch the list of theorems between letters and numbers?</p>
",16/08/2010 21:37,1,202,205
Formats for writing a thesis in Mathematics,"<p>What are the usual formats for writing a thesis in Mathematics in Latex ? </p>
",06/02/2014 16:46,2,203,740
Is there an ancient Greek metafont font?,"<p>Are there any metafont fonts that can be used to typeset classical
Greek?</p>
",29/03/2017 13:28,2,204,471
How we can make term 'Figure' to be bold and rest part of the caption to remain as it is?,"<p>How to make term 'Figure' bold and rest of the caption need not to be bold</p>
",09/06/2016 19:26,0,205,631
How to use ^ in superscript mathmode?,"<p>How to use ^ in superscript mathmode? for example need to write only $x\^$</p>
",14/10/2017 14:30,0,206,797
"As someone who is new to LaTex, should I begin with LyX or should I go headfirst into something like TexMaker or TexWorks?","<p>I will just be using it for math if that matters. Thank you for your help.</p>
",31/07/2018 20:40,1,207,179
Suppressing hyphenation across pages,"<p>Is there a way of preventing the last word of a page from being hyphenated?</p>
",09/01/2011 11:33,34,208,450
electronics TeX,"<p>is there a good TeX flavor for expressing electronics symbols in documents?</p>
",21/01/2011 06:07,10,209,452
Create environment within my own latex class?,"<p>How can I automate multiple choice question type in my own class in LaTeX? </p>
",22/10/2012 04:52,6,210,41
How can you change the font for the contents of all tables in a document,"<p>Is there a simple way to set the default font for all tables in a document?</p>
",06/10/2011 18:37,8,211,37
